value,stem
conditions,condit
fixed,fix
industry,industri
State,State
pollutants,pollut
manufacturer,manufactur
annex,annex
projects,project
infrastructure,infrastructur
referred,refer
payments,payment
farms,farm
sale,sale
industrial,industri
proposals,propos
objective,object
Belgium,Belgium
fine,fine
council,council
restructuring,restructur
prices,price
lists,list
group,group
contracts,contract
conditions,condit
pollution,pollut
crude,crude
frozen,frozen
force,forc
area,area
herring,her
worker,worker
study,studi
demand,demand
quotas,quota
member,member
programmes,programm
regulation,regul
preferences,prefer
financial,financi
analysis,analysi
fixing,fix
department,depart
Greece,Greec
number,number
savings,save
figures,figur
herds,herd
annexed,annex
steels,steel
field,field
powder,powder
parallel,parallel
fibres,fibr
fabric,fabric
rules,rule
origin,origin
including,includ
agriculture,agricultur
years,year
technical,technic
industry,industri
motor,motor
respect,respect
additional,addit
tne,tne
paragraph,paragraph
transit,transit
member,member
air,air
communities,commun
aid,aid
average,averag
convention,convent
consumption,consumpt
flax,flax
honour,honour
category,categori
market,market
awarded,award
resources,resourc
projects,project
international,intern
ECSC,ECSC
Norway,Norwai
service,servic
butter,butter
methods,method
services,servic
commitments,commit
aid,aid
amended,amend
year,year
rules,rule
international,intern
employees,employe
ia,ia
ensure,ensur
COST,COST
services,servic
quality,qualiti
vehicles,vehicl
supplementary,supplementari
community,commun
concerned,concern
statement,statement
jobs,job
compounds,compound
implementing,implement
cooperation,cooper
work,work
meat,meat
market,market
regulation,regul
heading,head
plants,plant
exceeding,exceed
waste,wast
european,european
